file,QtD_Full,QtD_MD,QtD_LD
17600N,0.235743736396408,0.182737752662537,0.121436887234761
23913U,0.167219077492576,0.125503590481018,0.0535351022646218
18192D,0.223176393908265,0.17026368976004,0.0752672978966121
21877G,0.183305551804981,0.141163979145156,0.0824965227060515
16330F,0.139511532872652,0.10931650540083,0.0464205025299288
20621S,0.138240834969864,0.110405950037372,0.0642118848591326
24760A,0.151726446902343,0.170632079309953,0.0647747343632399
25917M,0.289701406561662,0.235799293424287,0.341661962997805
24370N,0.177286985012414,0.145662638081338,0.0614163065762243
16772L,0.150020787179849,0.224067012084413,0.0716483332782685
25712U,0.25425319152625,0.199876326807353,0.134718386102069
25921D,0.199536798113178,0.156668892035208,0.0713336566735596
15471S,0.156205759858896,0.120153686543461,0.0533529837653203
25234K,0.168257974351272,0.133694061969428,0.0608310435508582
25716C,0.10034694610968,0.0851693119775526,0.248295250628066
12796F,0.270952417258896,0.300416937491083,0.157185026502329
24157N,0.21300263208536,0.164279378461418,0.0777999056653215
26116J,0.210972979330491,0.159603739090919,0.0706604639619837
21880V,0.168088122592971,0.134494292105756,0.0573665467808572
25923H,0.152712069902718,0.120490388856528,0.0553604168081337
15473W,0.164711047831052,0.125937376346708,0.0457718495417233
18020A,0.129926309259639,0.108553075668411,0.0318685128418634
22805M,0.165605666789949,0.135345698414869,0.0548326959649199
25914G,0.178399075585733,0.150566528288967,0.256744004425499
26109M,0.101147058352552,0.0825350258841632,0.0198700397159513
19376S,0.150799922865496,0.121060917076407,0.0449024805811426
24989G,0.173348762005812,0.206967021093073,0.0870022401704678
18008K,0.153991459633259,0.160593903184917,0.0655350192742594
25002P,0.197479316536389,0.141577076874879,0.0655925604440394
17196G,0.116743684824391,0.0993751110572733,0.0802146783630038
21876E,0.208118378758975,0.244548361400058,0.112131369391125
23049F,0.217119288964813,0.164863004081115,0.0738753032183473
18207Q,0.0971945246562712,0.0861377938442058,0.0711750006915566
16997J,0.141091536589654,0.112115392745193,0.0458692903607112
25919Q,0.230291842384397,0.202332423443649,0.100294233758254
26114F,0.264800717160272,0.208517067745499,0.145222289109617
13094E,0.176027706434747,0.150766285651751,0.0642061669086947
24990R,0.154356445003811,0.125522964325219,0.0493014350717814
21868F,0.232192568378598,0.171728927436546,0.101768886289137
18398X,0.15941411049284,0.151800545811277,0.052792432063529
25906H,0.16728444404987,0.141183904997627,0.174404173037144
13694C,0.133314906226063,0.107193513872541,0.0345462147978094
15083J,0.239248457865426,0.204207372342086,0.282960431912002
22583U,0.264683839552273,0.201319421450415,0.135338781934459
25705X,0.190169212402333,0.146896331579542,0.0714887352440012
18589E,0.285110940282849,0.227525797066464,0.199592051842598
17190U,0.18869073156681,0.221482048644009,0.0972597615148765
15907D,0.238857843107119,0.194470251120563,0.163101025249848
12426Y,0.181278384457474,0.154492501918971,0.0665055849211748
11806D,0.253033413015658,0.220554337841241,0.126924868931263
23262F,0.226888848632274,0.173838627903722,0.113798221113711
22811H,0.148086547583577,0.113667319820337,0.037128587254866
26112B,0.137930467569603,0.103966243544514,0.0320223749160809
24761C,0.138008405995439,0.140732083866644,0.0547588265118901
18586Y,0.137794146935177,0.102934594552366,0.025579927843074
17791U,0.206316982041893,0.150525756092866,0.076531722595334
18588C,0.10929542563696,0.0929645482711807,0.0788817592303676
18208S,0.098340671912874,0.0826947852591256,0.0718509481629451
18991H,0.11674255694066,0.0985999032954096,0.0353657929248493
19804N,0.142962751526643,0.122212274107661,0.0710436025493191
22808S,0.229329282790306,0.182045126474173,0.105902626929649
21659W,0.277612220901309,0.224145847523596,0.434972084990159
19204P,0.252553880372341,0.197637434237455,0.168864964907291
16338V,0.197767576686291,0.1573771298028,0.0631615691191171
25937S,0.231342517689864,0.189821952370018,0.19598494977235
20618D,0.14063934679,0.118464986400629,0.0445487074635051
20622U,0.122914829096387,0.114651715069452,0.0429273776399074
13693A,0.226094739523414,0.175572763768683,0.102149229430453
22113J,0.144589695468854,0.143886597018257,0.0491225191733452
24150Z,0.125265897936099,0.108925015238812,0.0356828496355172
16761G,0.197773663528886,0.153709111532498,0.0750467102478342
15095Q,0.171119800563534,0.192057020392259,0.085056960434378
18197N,0.159922470167204,0.120652300829308,0.0460013406438397
12428C,0.18441837965003,0.137257902445451,0.0435825979875989
22337F,0.159265085987971,0.127626003461664,0.0483328020024555
18012B,0.149942738835423,0.114366017060947,0.0544357248137673
17188H,0.217567297767084,0.160748751612195,0.0586907490318521
13379U,0.187053844146097,0.148595618370077,0.0738485287023637
22111F,0.141723314908445,0.114491327658206,0.0672502576440135
15284T,0.119671051992275,0.190521315394281,0.0602952977733925
11829P,0.204872899622865,0.155293085688602,0.0683769490727039
14050P,0.180283273366664,0.146696884683177,0.0575655271718561
17204F,0.10642724153663,0.0883688796654112,0.019406678390515
